NODE_ID,MSG_COUNT,RSSI_PLACEHOLDER,TIMESTAMP_GPS,LATITUDE,LONGITUDE,CO2_PPM,CO_PPM,TEMPERATURE_C,HUMIDITY_PERC,SERVER_TIMESTAMP_UTC
barcoAM01,15,0,N/A,N/A,N/A,nan,10.0,29.3,49.0,2025-06-04T19:53:53.108148Z
barcoAM01,16,0,N/A,N/A,N/A,nan,10.0,29.7,49.0,2025-06-04T19:54:01.014559Z
barcoAM01,17,0,N/A,N/A,N/A,nan,10.0,29.4,49.0,2025-06-04T19:54:10.644253Z
barcoAM01,18,0,N/A,N/A,N/A,nan,10.0,29.0,50.0,2025-06-04T19:54:19.121229Z
barcoAM01,19,0,N/A,N/A,N/A,nan,10.0,29.7,50.0,2025-06-04T19:54:29.156164Z
barcoAM01,20,0,N/A,N/A,N/A,nan,10.0,29.4,50.0,2025-06-04T19:54:37.440173Z
barcoAM01,21,0,N/A,N/A,N/A,nan,10.0,29.3,50.0,2025-06-04T19:54:44.817410Z
barcoAM01,22,0,N/A,N/A,N/A,nan,10.0,29.8,50.0,2025-06-04T19:54:51.881930Z
barcoAM01,23,0,N/A,N/A,N/A,nan,10.0,29.7,50.0,2025-06-04T19:54:59.412352Z
barcoAM01,24,0,N/A,N/A,N/A,nan,10.0,29.0,50.0,2025-06-04T19:55:07.878703Z
barcoAM01,19,0,2025-06-04T20:36:10.00Z,N/A,N/A,nan,10.0,29.9,53.0,2025-06-04T20:36:07.275366Z
barcoAM01,20,0,2025-06-04T20:36:11.00Z,N/A,N/A,nan,10.0,29.5,53.0,2025-06-04T20:36:08.156564Z
barcoAM01,21,0,2025-06-04T20:36:12.00Z,N/A,N/A,nan,10.0,29.9,53.0,2025-06-04T20:36:09.251938Z
barcoAM01,22,0,2025-06-04T20:36:13.00Z,N/A,N/A,nan,10.0,29.3,53.0,2025-06-04T20:36:10.287600Z
barcoAM01,23,0,2025-06-04T20:36:14.00Z,N/A,N/A,nan,10.0,29.8,53.0,2025-06-04T20:36:11.323514Z
barcoAM01,24,0,2025-06-04T20:36:14.00Z,N/A,N/A,nan,10.0,29.3,53.0,2025-06-04T20:36:12.148370Z
barcoAM01,25,0,2025-06-04T20:36:16.00Z,N/A,N/A,nan,10.0,29.1,53.0,2025-06-04T20:36:13.180702Z
barcoAM01,26,0,2025-06-04T20:36:17.00Z,N/A,N/A,nan,10.0,29.9,53.0,2025-06-04T20:36:14.169820Z
